Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
RNA-Seq_786-M1A-1	RNA-Seq_786-M1A-1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	61984946.0	0.0	20-50	48.0	30.52568883334891	49.78391980852899	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
RNA-Seq_786-M1A-2	RNA-Seq_786-M1A-2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	57415693.0	0.0	20-50	47.0	30.452005328881594	49.78101152589066	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
RNA-Seq_786-O-1	RNA-Seq_786-O-1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	47646241.0	0.0	20-50	48.0	31.877749912757835	49.80601141231687	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
RNA-Seq_786-O-2	RNA-Seq_786-O-2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	51752250.0	0.0	20-50	47.0	33.70291482785744	49.780609519392875	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
RNA-Seq_OS-LM1-1	RNA-Seq_OS-LM1-1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	33015252.0	0.0	20-50	48.0	39.489189014788124	49.93676407497965	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass
RNA-Seq_OS-LM1-2	RNA-Seq_OS-LM1-2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	20823709.0	0.0	20-50	48.0	45.482386789228315	49.93011269029931	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass
RNA-Seq_OS-RC2_TGL-1	RNA-Seq_OS-RC2_TGL-1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	14944646.0	0.0	20-50	48.0	50.28198242809157	49.93461250269829	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	pass
RNA-Seq_OS-RC2_TGL-2	RNA-Seq_OS-RC2_TGL-2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	16923363.0	0.0	20-50	47.0	50.27881787857391	49.934264661226024	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	pass
