Sample	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
capan1-r1	22838298	1465567	20668728	567714	136289	2931134	1851877	1022525	56732	95.95
capan1-r2	21495333	1351658	19450726	575251	117698	2703316	1657911	990962	54443	96.14
capan1-r3	23552640	1460679	21336667	596794	158500	2921358	1867685	996789	56884	96.04
hpne-r1	22792433	1461185	20679763	565312	86173	2922370	1691431	1176440	54499	96.29
hpne-r2	22560221	1464120	20411059	580562	104480	2928240	1757413	1118985	51842	96.11
hpne-r3	23367193	1557172	21097624	605661	106736	3114344	1879084	1181356	53904	95.98
panc1-r1	23848280	1406398	21722923	598695	120264	2812796	1713451	1050674	48671	96.41
panc1-r2	22692816	1345484	20628885	606696	111751	2690968	1641781	1000034	49153	96.38
panc1-r3	22254259	1319233	20236682	588398	109946	2638466	1615960	974376	48130	96.37
